Group IID
PreContact_Dingo NullarborPlain1_615
PreContact_Dingo NullarborPlain2_276
PostContact_Dingo NullarborPlain3_150
PostContact_Dingo NullarborPlain4_127
PostContact_Dingo NullarborPlain5_129
Outgroup NullarborPlain6_2344
PreContact_Dingo NullarborPlain7_385
PreContact_Dingo NullarborPlain8_1180
PreContact_Dingo NullarborPlain9_998
PostContact_Dingo NullarborPlain10_207
PreContact_Dingo NullarborPlain11_639
PreContact_Dingo NullarborPlain12_541
PreContact_Dingo NullarborPlain13_372
PreContact_Dingo NullarborPlain14_295
PreContact_Dingo NullarborPlain15_1227
PostContact_Dingo NullarborPlain16_185
PreContact_Dingo NullarborPlain17_485
PreContact_Dingo NullarborPlain18_762
PreContact_Dingo NullarborPlain19_884
Historic_European_Dogs KangarooDog1_AD1843
Historic_NewGuinea NewGuineaSingingDog1_AD1910
Historic_NewGuinea NewGuineaSingingDog2_AD1910
Dingo_BigDesert Dingo33_BigDesert
Dingo_BigDesert Dingo34_BigDesert
Dingo_BigDesert Dingo35_BigDesert
Dingo_BigDesert Dingo36_BigDesert
Dingo_South Dingo37_East
Dingo_South Dingo38_East
Dingo_South Dingo39_East
Dingo_South Dingo40_East
Dingo_East Dingo41_South
Dingo_East Dingo42_South
Dingo_South Dingo43_South
Dingo_East Dingo44_South
African_NearEast_India_Dogs AfghanHound04
African_NearEast_India_Dogs Akbash01_15287
East_Asian_Dogs Akita01_12758
Arctic_Dogs AlaskanHusky01
Arctic_Dogs AlaskanMalamute01_30099
Aus_European_Dogs AustralianCattleDog01
Aus_European_Dogs AustralianCattleDog02
Aus_European_Dogs AustralianCattleDog03
Aus_European_Dogs AustralianCattleDog04
Aus_European_Dogs AustralianCattleDog06
Aus_European_Dogs AustralianCattleDog07_9994
Aus_European_Dogs AustralianShepherd01_27104
Aus_European_Dogs AustralianShepherd02_30713
Aus_European_Dogs AustralianShepherd03_31260
Aus_European_Dogs AustralianShepherd04_33489
Aus_European_Dogs AustralianShepherd05_33555
Aus_European_Dogs AustralianShepherd06
Aus_European_Dogs AustralianShepherd07_29479
Aus_European_Dogs AustralianTerrier01
Aus_European_Dogs AustralianTerrier02_30508
Aus_European_Dogs AustralianTerrier03_8663
African_NearEast_India_Dogs Basenji02
European_Dogs BassetHound01_10376
European_Dogs BavarianHound01
European_Dogs Beagle01_16145
European_Dogs Bloodhound01_25394
African_NearEast_India_Dogs Boerboel01_21873
European_Dogs BorderCollie01
European_Dogs Borzoi01_13141
European_Dogs Briard01_15126
European_Dogs BrittanySpaniel03_12726
European_Dogs BrusselsGriffon01_6033
European_Dogs Bulldog01_14566
European_Dogs BullMastiff01
European_Dogs BullTerrier01
European_Dogs CairnTerrier01
Americas_Dogs CarolinaDog01_7771
Americas_Dogs CatahoulaLeopardDog02_33137
African_NearEast_India_Dogs CaucasianOvcharka02_7997
European_Dogs CavalierKingCharlesSpaniel01
Americas_Dogs Chihuahua01_13131
East_Asian_Dogs ChineseCrested01
East_Asian_Dogs ChineseIndigenousDog01
East_Asian_Dogs ChineseIndigenousDog02
East_Asian_Dogs ChineseIndigenousDog03
East_Asian_Dogs ChineseIndigenousDog04
East_Asian_Dogs ChineseIndigenousDog05
East_Asian_Dogs ChineseIndigenousDog06
East_Asian_Dogs ChineseIndigenousDog07
East_Asian_Dogs ChineseIndigenousDog08
East_Asian_Dogs ChineseIndigenousDog09
East_Asian_Dogs ChineseIndigenousDog10
East_Asian_Dogs ChineseIndigenousDog11
East_Asian_Dogs ChineseIndigenousDog12
East_Asian_Dogs ChineseIndigenousDog13
East_Asian_Dogs ChineseIndigenousDog15
East_Asian_Dogs ChineseSharpei01
Americas_Dogs Chinook01
European_Dogs CockerSpanielEnglish05
European_Dogs Collie01_13303
African_NearEast_India_Dogs CotonDeTulear01_33217
Outgroup Coyote01
European_Dogs Dachshund01
European_Dogs Dalmatian01
Dingo_Captive Dingo02_Captive
